Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Sun May 22 15:00:49 2022
Client: 208.8.0.212, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Mon May 23 11:54:35 2022
Client: 0.0.0.0, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Mon May 23 23:45:10 2022
Client: 0.0.0.0, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Mon May 23 23:45:12 2022
Client: 208.8.0.188, Operazione: 4.000000 + 1.000000, risultato: 5.000000, arrivo richiesta: Mon May 23 23:45:15 2022
Client: 0.0.0.0, Operazione: 5.000000 + 3.000000, risultato: 8.000000, arrivo richiesta: Mon May 23 23:45:17 2022
Client: 0.0.0.0, Operazione: 10.000000 * 2.000000, risultato: 20.000000, arrivo richiesta: Mon May 23 23:57:26 2022
Client: 208.8.0.4, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Tue May 24 00:01:11 2022
Client: 208.8.0.4, Operazione: 4.000000 * 2.000000, risultato: 8.000000, arrivo richiesta: Tue May 24 00:02:07 2022
Client: 208.8.0.4, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Tue May 24 00:02:21 2022
Client: 208.8.0.4, Operazione: 10.000000 * 3.000000, risultato: 30.000000, arrivo richiesta: Tue May 24 00:02:24 2022
Client: 0.0.0.0, Operazione: 4.000000 / 0.000000, risultato: inf, arrivo richiesta: Tue May 24 11:14:21 2022
Client: 0.0.0.0, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Tue May 24 11:41:19 2022
Client: 0.0.0.0, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Tue May 24 17:08:00 2022
Client: 208.8.0.48, Operazione: 3.000000 + 2.000000, risultato: 5.000000, arrivo richiesta: Tue May 24 17:08:10 2022
Client: 0.0.0.0, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Tue May 24 17:08:28 2022
Client: 208.8.0.48, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Tue May 24 17:09:09 2022
Client: 0.0.0.0, Operazione: 3.000000 + 2.000000, risultato: 5.000000, arrivo richiesta: Tue May 24 17:20:26 2022
Client: 127.0.0.1, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Tue May 24 17:54:44 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Tue May 24 17:55:06 2022
Client: 127.0.0.1, Operazione: 3.000000 + 2.000000, risultato: 5.000000, arrivo richiesta: Tue May 24 17:55:26 2022
Client: 127.0.0.1, Operazione: 10.000000 + 2.000000, risultato: 12.000000, arrivo richiesta: Tue May 24 17:55:35 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Tue May 24 17:56:32 2022
Client: 127.0.0.1, Operazione: 5.000000 + 3.000000, risultato: 8.000000, arrivo richiesta: Tue May 24 17:56:40 2022
Client: 127.0.0.1, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Tue May 24 18:13:57 2022
Client: 127.0.0.1, Operazione: 10.000000 + 2.000000, risultato: 12.000000, arrivo richiesta: Tue May 24 18:14:03 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Tue May 24 18:17:20 2022
Client: 127.0.0.1, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Tue May 24 18:17:25 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Tue May 24 18:17:41 2022
Client: 127.0.0.1, Operazione: 5.000000 + 2.000000, risultato: 7.000000, arrivo richiesta: Tue May 24 18:17:59 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Tue May 24 18:28:04 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Tue May 24 18:28:11 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Wed May 25 18:39:10 2022
Client: 127.0.0.1, Operazione: 4.000000 + 10.000000, risultato: 14.000000, arrivo richiesta: Wed May 25 18:39:21 2022
Client: 127.0.0.1, Operazione: 10.000000 + 2.000000, risultato: 12.000000, arrivo richiesta: Wed May 25 18:45:19 2022
Client: 127.0.0.1, Operazione: 10.000000 + 2.000000, risultato: 12.000000, arrivo richiesta: Wed May 25 18:47:11 2022
Client: 127.0.0.1, Operazione: 10.000000 * 3.000000, risultato: 30.000000, arrivo richiesta: Wed May 25 18:47:49 2022
Client: 127.0.0.1, Operazione: 10.000000 + 2.000000, risultato: 12.000000, arrivo richiesta: Wed May 25 18:48:05 2022
Client: 127.0.0.1, Operazione: 10.000000 * 3.000000, risultato: 30.000000, arrivo richiesta: Wed May 25 18:51:09 2022
Client: 127.0.0.1, Operazione: 6.000000 + 2.000000, risultato: 8.000000, arrivo richiesta: Wed May 25 18:51:16 2022
Client: 127.0.0.1, Operazione: 10.000000 * 3.000000, risultato: 30.000000, arrivo richiesta: Wed May 25 18:51:29 2022
Client: 127.0.0.1, Operazione: 4.000000 * 2.000000, risultato: 8.000000, arrivo richiesta: Wed May 25 18:51:38 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Wed May 25 18:51:46 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Wed May 25 18:51:59 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Wed May 25 18:52:12 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Wed May 25 18:56:59 2022
Client: 127.0.0.1, Operazione: 10.000000 * 2.000000, risultato: 20.000000, arrivo richiesta: Wed May 25 18:57:08 2022
Client: 127.0.0.1, Operazione: 10.000000 * 2.000000, risultato: 20.000000, arrivo richiesta: Wed May 25 18:57:11 2022
Client: 127.0.0.1, Operazione: 10.000000 * 3.000000, risultato: 30.000000, arrivo richiesta: Wed May 25 18:57:18 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Wed May 25 19:00:23 2022
Client: 127.0.0.1, Operazione: 10.000000 * 20.000000, risultato: 200.000000, arrivo richiesta: Wed May 25 19:00:30 2022
Client: 127.0.0.1, Operazione: 10.000000 * 2.000000, risultato: 20.000000, arrivo richiesta: Wed May 25 19:01:07 2022
Client: 127.0.0.1, Operazione: 10.000000 + 2.000000, risultato: 12.000000, arrivo richiesta: Wed May 25 19:01:25 2022
Client: 127.0.0.1, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Wed May 25 19:14:37 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Wed May 25 19:18:38 2022
Client: 127.0.0.1, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Wed May 25 19:20:30 2022
Client: 127.0.0.1, Operazione: 10.000000 * 30.000000, risultato: 300.000000, arrivo richiesta: Thu May 26 21:06:26 2022
Client: 127.0.0.1, Operazione: 10.000000 + 2.000000, risultato: 12.000000, arrivo richiesta: Thu May 26 21:06:35 2022
Client: 127.0.0.1, Operazione: 10.000000 * 2.000000, risultato: 20.000000, arrivo richiesta: Thu May 26 21:06:49 2022
Client: 127.0.0.1, Operazione: 20.000000 + 39.000000, risultato: 59.000000, arrivo richiesta: Thu May 26 21:07:31 2022
Client: 127.0.0.1, Operazione: 10.000000 + 10.000000, risultato: 20.000000, arrivo richiesta: Thu May 26 21:07:36 2022
Client: 127.0.0.1, Operazione: 20.000000 + 30.000000, risultato: 50.000000, arrivo richiesta: Thu May 26 21:07:44 2022
Client: 127.0.0.1, Operazione: 1.000000 + 2.000000, risultato: 3.000000, arrivo richiesta: Thu May 26 21:07:49 2022
Client: 127.0.0.1, Operazione: 1.000000 / 2.000000, risultato: 0.500000, arrivo richiesta: Thu May 26 21:07:52 2022
Client: 127.0.0.1, Operazione: 0.000000 + 0.000000, risultato: 0.000000, arrivo richiesta: Thu May 26 21:08:05 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Thu May 26 21:08:38 2022
Client: 127.0.0.1, Operazione: 30.000000 + 39.000000, risultato: 69.000000, arrivo richiesta: Thu May 26 21:08:47 2022
Client: 127.0.0.1, Operazione: 30.000000 + 30.000000, risultato: 60.000000, arrivo richiesta: Thu May 26 21:08:50 2022
Client: 127.0.0.1, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Fri Jun  3 23:29:56 2022
Client: 127.0.0.1, Operazione: 10.000000 * 2.000000, risultato: 20.000000, arrivo richiesta: Fri Jun  3 23:29:59 2022
Client: 127.0.0.1, Operazione: 4.000000 + 2.000000, risultato: 6.000000, arrivo richiesta: Fri Jun  3 23:30:10 2022
Client: 127.0.0.1, Operazione: 10.000000 * 3.000000, risultato: 30.000000, arrivo richiesta: Fri Jun  3 23:30:26 2022
Client: 127.0.0.1, Operazione: 3.000000 + 3.000000, risultato: 6.000000, arrivo richiesta: Fri Jun  3 23:48:08 2022
Client: 127.0.0.1, Operazione: 2.000000 + 2.000000, risultato: 4.000000, arrivo richiesta: Sat Jun  4 00:00:25 2022
Client: 127.0.0.1, Operazione: 3.000000 + 2.000000, risultato: 5.000000, arrivo richiesta: Sat Jun  4 00:00:33 2022
Client: 127.0.0.1, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Sat Jun  4 00:01:10 2022
Client: 127.0.0.1, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Sat Jun  4 00:12:33 2022
Client: 127.0.0.1, Operazione: 10.000000 + 2.000000, risultato: 12.000000, arrivo richiesta: Sat Jun  4 00:12:35 2022
Client: 127.0.0.1, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Sat Jun  4 00:12:48 2022
Client: 127.0.0.1, Operazione: 4.000000 + 10.000000, risultato: 14.000000, arrivo richiesta: Sat Jun  4 00:26:00 2022
Client: 127.0.0.1, Operazione: 10.000000 * 2.000000, risultato: 20.000000, arrivo richiesta: Sat Jun  4 00:26:04 2022
Client: 127.0.0.1, Operazione: 4.000000 / 0.000000, risultato: inf, arrivo richiesta: Sat Jun  4 00:26:36 2022
Client: 127.0.0.1, Operazione: 10.000000 * 2.000000, risultato: 20.000000, arrivo richiesta: Sat Jun  4 00:29:13 2022
Client: 127.0.0.1, Operazione: 30.000000 * 3.000000, risultato: 90.000000, arrivo richiesta: Sat Jun  4 00:29:16 2022
Client: 127.0.0.1, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Sat Jun  4 00:34:17 2022
Client: 127.0.0.1, Operazione: 10.000000 * 2.500000, risultato: 25.000000, arrivo richiesta: Sat Jun  4 00:34:28 2022
Client: 127.0.0.1, Operazione: 10.000000 * 3.300000, risultato: 33.000000, arrivo richiesta: Sat Jun  4 00:34:34 2022
Client: 127.0.0.1, Operazione: 3.300000 * 3.300000, risultato: 10.890000, arrivo richiesta: Sat Jun  4 00:34:39 2022
Client: 127.0.0.1, Operazione: 3277.000000 / 555.000000, risultato: 5.904505, arrivo richiesta: Sat Jun  4 00:35:36 2022
Client: 127.0.0.1, Operazione: 1.000000 / 3.000000, risultato: 0.333333, arrivo richiesta: Sat Jun  4 00:35:49 2022
Client: 127.0.0.1, Operazione: 1.000000 / 3.000000, risultato: 0.333333, arrivo richiesta: Sat Jun  4 00:36:17 2022
Client: 127.0.0.1, Operazione: 1.000000 / 3.000000, risultato: 0.333333, arrivo richiesta: Sat Jun  4 00:36:32 2022
Client: 127.0.0.1, Operazione: 5.000000 + 2.000000, risultato: 7.000000, arrivo richiesta: Sat Jun  4 00:36:38 2022
Client: 127.0.0.1, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Sat Jun  4 00:36:52 2022
Client: 127.0.0.1, Operazione: 4.000000 + 3.000000, risultato: 7.000000, arrivo richiesta: Sat Jun  4 00:37:06 2022
Client: 127.0.0.1, Operazione: 4 + 3, risultato: 7, arrivo richiesta: Sat Jun  4 00:48:58 2022
Client: 127.0.0.1, Operazione: 10 * 100, risultato: 1000, arrivo richiesta: Sat Jun  4 00:49:04 2022
Client: 127.0.0.1, Operazione: 30000 / 27, risultato: 1111.11, arrivo richiesta: Sat Jun  4 00:49:11 2022
Client: 127.0.0.1, Operazione: 42 + 3, risultato: 45, arrivo richiesta: Fri Jun 10 16:03:23 2022
Client: 127.0.0.1, Operazione: 10 * 2, risultato: 20, arrivo richiesta: Fri Jun 10 16:03:29 2022
Client: 127.0.0.1, Operazione: 10 * 2, risultato: 20, arrivo richiesta: Fri Jun 10 16:03:31 2022
Client: 127.0.0.1, Operazione: 10 * 3, risultato: 30, arrivo richiesta: Fri Jun 10 16:03:35 2022
Client: 127.0.0.1, Operazione: 20 + 3, risultato: 23, arrivo richiesta: Fri Jun 10 16:03:38 2022
Client: 127.0.0.1, Operazione: 10 * 3, risultato: 30, arrivo richiesta: Fri Jun 10 16:03:42 2022
